X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8565954.86722198,4708181.37326294,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2756,mquach,2016/10/12 06:35:33+00,ADA,2024/06/27 20:40:41+00,,{7E94186B-4001-4DDC-9767-9A97D407C1FF},2756
-8564021.74460696,4707777.48967469,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2757,mquach,2016/10/12 06:09:41+00,ADA,2024/06/27 20:40:41+00,,{71DBB53D-DC84-4C0E-8813-2F393D4604FE},2757
-8565643.01293641,4707585.83710438,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2758,mquach,2016/10/12 06:22:31+00,ADA,2024/06/27 20:40:41+00,,{A7B9A12B-5914-4109-A29B-829121A377C2},2758
-8565631.42472597,4707765.9788081,Fair,,No,1,2030,2016,ADA_BusStopPt_2759,mquach,2016/10/12 06:25:43+00,ADA,2024/06/27 20:40:41+00,,{95E9465A-EE09-4FC4-AF19-2C0699BC3E32},2759
-8565838.69128987,4708038.69840975,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2760,mquach,2016/10/12 06:31:34+00,ADA,2024/06/27 20:40:41+00,,{4495F947-026C-4F51-BD05-3538014D36DF},2760
-8566008.87996911,4708339.87134504,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2761,mquach,2016/10/12 06:37:14+00,ADA,2024/06/27 20:40:41+00,,{6128EF7D-66EE-4E67-AEF8-3D1F1993E096},2761
-8566148.49530196,4708429.18113015,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2762,mquach,2016/10/12 06:38:04+00,ADA,2024/06/27 20:40:41+00,,{8DBCF485-AF4B-4E63-99F2-47116D60A9E8},2762
-8566306.7264779,4708364.7998704,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2763,mquach,2016/10/12 06:39:19+00,ADA,2024/06/27 20:40:41+00,,{BD91E4F5-7058-47FE-934D-D2D9DE7AD48B},2763
-8566252.92556588,4707361.08384857,Fair,,No,1,2030,2016,ADA_BusStopPt_2764,mquach,2016/10/12 18:42:32+00,ADA,2024/06/27 20:40:41+00,,{6A9F4623-1DD5-43DD-9A92-EA5D5F7B9EE6},2764
-8562436.00161248,4706929.58693444,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2765,mquach,2016/10/12 18:46:53+00,ADA,2024/06/27 20:40:41+00,,{A4CAAE60-33FF-4FAB-BB8A-2915A8BBB983},2765
-8565741.80840065,4707007.02528903,Good,,No,1,2030,2016,ADA_BusStopPt_2766,mquach,2016/10/12 18:57:45+00,ADA,2024/06/27 20:40:41+00,,{0033C61A-DF4C-4E4D-93C4-2BC12CAE3F5B},2766
-8563401.39802056,4706807.82577554,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2767,mquach,2016/10/12 19:08:28+00,ADA,2024/06/27 20:40:41+00,,{BB85EEE9-C1BF-4E53-8CB0-C7BC3A38CAFA},2767
-8563602.06452269,4706704.88531751,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2768,mquach,2016/10/12 19:09:06+00,ADA,2024/06/27 20:40:41+00,,{68BB58D7-4018-4D8F-B2AC-714B4EE5D64F},2768
-8563799.97215216,4706426.04760305,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2769,mquach,2016/10/12 19:12:58+00,ADA,2024/06/27 20:40:41+00,,{9EED5C8A-98F1-448C-9F86-B3A8DF4581D1},2769
-8563287.5419649,4705877.5740696,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2770,mquach,2016/10/12 21:02:44+00,ADA,2024/06/27 20:40:41+00,,{9B4E5EFA-5E9F-4353-97FE-AEDF96866A16},2770
